"Player"	"Streak"	"RafflesWon"	"RafflesJoined"	"ExpectedRafflesWon"	"CoinsWon"	"ExpectedCoinsWon"
"Swan-FR"	"2"	"8"	"40"	"4,148103416191651"	"39"	"26,568082277199927"
"unknown"	"0"	"0"	"3"	"0,3345238095238095"	"0"	"1,976190476190476"
"OrangeWar "	"1"	"1"	"1"	"0,14285714285714285"	"5"	"0,7142857142857142"
"Stalins_gr"	"0"	"0"	"1"	"0,09090909090909091"	"0"	"0,2727272727272727"
"ORANGEWARS"	"0"	"0"	"1"	"0,08333333333333333"	"0"	"0,5833333333333333"
"Mongoose"	"1"	"2"	"24"	"3,5614829614829615"	"9"	"19,008727383727386"
"Darth Maku"	"0"	"0"	"0"	"0"	"0"	"0"
"Kiribati"	"2"	"13"	"105"	"14,774834887334874"	"122"	"109,99388944388944"
"ApexSurviv"	"0"	"0"	"1"	"0,09090909090909091"	"0"	"0,36363636363636365"
"kneeman"	"1"	"1"	"9"	"1,1522405372405373"	"3"	"4,658168498168498"
"Pacifiste"	"0"	"0"	"1"	"0,09090909090909091"	"0"	"0,4545454545454546"
"Kazz520"	"1"	"1"	"1"	"0,09090909090909091"	"43"	"3,909090909090909"
"Kenobi"	"1"	"1"	"1"	"0,07142857142857142"	"61"	"4,357142857142857"
"Sorina"	"0"	"0"	"0"	"0"	"0"	"0"
"Fen"	"0"	"0"	"0"	"0"	"0"	"0"
"gabringiam"	"0"	"0"	"1"	"0,07692307692307693"	"0"	"0,5384615384615385"
"porkmodz_l"	"0"	"0"	"1"	"0,07692307692307693"	"0"	"0,5384615384615385"
"Adrian Gei"	"0"	"0"	"2"	"0,20833333333333331"	"0"	"1"
"timo"	"0"	"0"	"1"	"0,1"	"0"	"0,4"
"15+18"	"0"	"0"	"2"	"0,26666666666666666"	"0"	"0,8"
"Dado"	"0"	"0"	"4"	"0,43166666666666664"	"0"	"1,9933333333333332"
"Juesdi"	"0"	"0"	"2"	"0,30000000000000004"	"0"	"1,1"
"Garibaldi "	"1"	"2"	"31"	"4,698146298146298"	"10"	"24,37324897324897"
"Level"	"0"	"0"	"1"	"0,14285714285714285"	"0"	"0,8571428571428571"
"insane"	"0"	"0"	"1"	"0,1111111111111111"	"0"	"0,5555555555555556"
"lee"	"0"	"0"	"1"	"0,1111111111111111"	"0"	"0,3333333333333333"
"PunchySlug"	"1"	"1"	"2"	"0,20202020202020202"	"6"	"1,121212121212121"
"Ethos_x"	"0"	"0"	"0"	"0"	"0"	"0"
"David"	"1"	"3"	"28"	"3,6289432789432796"	"14"	"24,669910644910644"
"Tricolour1"	"0"	"0"	"0"	"0"	"0"	"0"
"Dulles"	"0"	"0"	"0"	"0"	"0"	"0"
"Duke Alex"	"1"	"3"	"15"	"1,9177350427350426"	"16"	"16,842307692307692"
"uprising"	"1"	"1"	"14"	"1,9156746031746033"	"6"	"16,401785714285715"
"Orange ""KO"	"0"	"0"	"1"	"0,08333333333333333"	"0"	"0,41666666666666663"
"ReaperGod"	"1"	"1"	"1"	"0,16666666666666666"	"4"	"0,6666666666666666"
"Instinkt"	"0"	"0"	"1"	"0,14285714285714285"	"0"	"0,7142857142857142"
"Crafto01"	"0"	"0"	"1"	"0,125"	"0"	"0,5"
"James Bond"	"1"	"1"	"3"	"0,45"	"5"	"2,05"
"Fenix"	"0"	"0"	"2"	"0,25"	"0"	"7,625"
"roeser"	"2"	"17"	"154"	"19,197065434565417"	"139"	"139,94130452880452"
"Texas Mass"	"0"	"0"	"0"	"0"	"0"	"0"
"WarChimp"	"0"	"0"	"6"	"0,7444805194805195"	"0"	"4,089935064935065"
"Cookie mon"	"0"	"0"	"1"	"0,25"	"0"	"1,5"
"Lincoln's "	"1"	"1"	"3"	"0,575"	"7"	"2,9000000000000004"
"JDB AZ"	"0"	"0"	"0"	"0"	"0"	"0"
"lizard"	"2"	"11"	"59"	"8,069094794094793"	"55"	"68,33129370629369"
"Ricardio p"	"0"	"0"	"3"	"0,27142857142857146"	"0"	"1,3857142857142857"
"Godzilla r"	"0"	"0"	"2"	"0,21428571428571427"	"0"	"0,8571428571428571"
"Skillmachi"	"0"	"0"	"2"	"0,21428571428571427"	"0"	"1,1428571428571428"
